,text,root,event,label
65,"I 'm sorry , I 'm not seeing any trains for that time . Would you like to try another time or a different route ?",,,0
66,"No , I 'd like a train leaving after 09:30 departing from Kings Lynn and going to Cambridge . Please take another look ?",,,0
67,There are no trains running at this time . Can I narrow your search in any way ?,,,0
68,"Wow ... no , I really needed that time . I guess not . Thanks anyway .",,,0
69,I do have a train living at 10:11 of that would work for you .,have,I at have living 10:11 train,1
70,"Yes , that works . Please book for two people . Thanks for checking again .",,,0
71,It 's my pleasure . You 're booked with reference HXG3N56O . The total fee is 19.6 GBP payable at the station . May I help with anything else ?,,,0
72,Perfect . Thank you for your help . Have a great day . Bye .,,,0
73,"Thank you for using our service , goodbye .",,,0
74,Have a nice day .,Have,day a nice Have,1
75,"Booking was successful , the total fee is 19.6 GBP payable at the station . Reference number is : HXG3N56O .",,,0
76,I am looking for a restaurant . I would like something cheap that has Chinese food .,,,0
77,I 've heard good things about the lucky star . Need a reservation ?,,,0
78,"Yes , could you make a reservation for 1 at 20:00 on Saturday ?",make,you reservation Saturday on make,1
79,Your booking was successful . The table will be reserved for 15 minutes . Reference number is : FDLFKTZM .,reserved,for reserved minutes 15,1
80,Thank you so much for your help !,,,0
81,You 're welcome . Thank you ! Have a good day now !,,,0
82,"Thanks , you too . Goodbye .",,,0
83,Thank you for using Cambridge TownInfo centre . Good - bye,,,0
84,Please find me a train from cambridge to stansted airport,,,0
85,"Sure , I can do that but first I need a little more information . What day would you like to travel as well as departure and arrival times ?",,,0
86,Saturday leaving Cambridge anytime after 20:00 please,leaving,leaving Cambridge 20:00 Saturday after,1
87,TR3128 will leave at 20:40 and arrive by 21:08 . Do you need more information or would you like to book tickets ?,leave,leave 21:08 by 20:40 TR3128 at arrive,1
88,Can you book me 6 tickets please ?,,,0
89,You 're all set . Total for tickets is 48.48 GBP payable at the station . Reference number is JD6SA21J .,,,0
90,I am also looking for The Riverside Brasserie .,,,0
91,riverside brasserie is a modern european restaurant in the centre . Its address is Doubletree by Hilton Cambridge Granta Place Mill Lane and postcode is cb21rt . Want to book it ?,,,0
92,"Yes , I would like to book it and get a reference number .",,,0
93,"Unfortunately , I can not book it at this time .",,,0
94,Can you try for Saturday at 13:00 ?,try,for Saturday you try,1
95,How many people will be dining ?,,,0
96,6 people will be dining,,,0
97,Your booking was successful . Your reference number is 3VX3AOKS .,,,0
98,Thanks for everything you have been great !,,,0
99,Thank you is there anything else today ?,is,today is,1
100,No that is all I needed . Thank you ever so kindly .,,,0
101,Wonderful . I 'm glad I could help . Have a great day . Goodbye .,,,0
102,I 'm looking for an expensive restaurant in the centre if you could help me .,,,0
103,I sure can . There are lots of choices . Are you looking for a particular type of food ?,,,0
104,"No , not really . I think I 'd like to try something different . Could you suggest something ?",,,0
105,There is a Korean restaurant called Little Seoul located at 108 Regent Street City Centre . Would you like their phone number ?,,,0
106,"Yes , I would like both the phone number and the postcode please .",,,0
107,"The phone number for little seoul is 01223308681 , postcode cb21dp . Can I help you with anything else today ?",help,I today help you,1
108,Can I also have the address please ?,,,0
109,"The address for Little Seoul is 108 Regent Street , City Centre . Is there anything else I can help you with ?",,,0
110,I also want to see the travel times for a train going from Kings Lynn from Cambridge on Saturday . It should leave after 09:15 .,leave,leave after 09:15 It,1
111,Is there a time you would like to arrive by ?,,,0
112,I got that backwards . Need a train leaving Kings Lynn after 9:15 and arriving in Cambridge sometime on Saturday .,Need,Saturday 9:15 on leaving Need after arriving train Lynn,1
113,TR2514 leaves at 10:11 and arrives at 10:58 . Will this one work for you ?,leaves,arrives at 10:11 at leaves 10:58,1
114,Sure . Could you tell me the exact travel time ?,,,0
115,Sure . The travel time for TR2514 is 47 minutes . Anything else I can help you with today ?,help,I you help today with,1
116,that is it for today . good day thank you,is,for today that is,1
117,Have a wonderful day yourself . Goodbye .,,,0
118,I 'm looking for a places to go and see during my upcoming trip to Cambridge .,,,0
119,What area of town would you like ?,,,0
120,I would like to go to the south area please .,,,0
121,"On the south side , your options are the cinema , entertainment venues , museums , nightclubs , parks , and a theatre .",,,0
122,"That 's a lot of choices , how about nightclubs ? Can you get me a couple of phone numbers for good ones ? I 'm hoping to catch DJ Squalour from Ibiza !",,,0
123,The only nightclub in the south is called the place on 22 sidney street . Phone number is 01223324600 . Can I help you with anything else ?,is,number is 01223324600,1
124,"Yes , I would like an expensive hotel with free parking .",,,0
125,"I have places that fit that description all over town , except in the north . If area is no concern , I recommend the Gonville in the center of town .",,,0
126,Is it four star ?,,,0
127,"No , it only 3 stars . The Huntington Marriott is 4 stars though . It is also expensive and has free parking and internet .",,,0
128,Okay well now I need to get a taxi to leave the hotel by 17:45 to the attraction . I will need a contact number and car type .,need,17:45 need by leave get I hotel taxi,1
129,Booking completed ! Booked car type : red lexus Contact number : 07421633218,type,number type 07421633218,1
130,"I want to confirm that the booked red Lexus is a taxi , as I previously requested ?",,,0
131,"Yes , it is ! Anything else needed ?",,,0
132,No that is it . Thank you !,,,0
133,you are welcome . enjoy your stay .,,,0
134,"Hi , I 'd like to book a train to stansted airport from cambridge . Can you help ?",,,0
135,Absolutely . Where will you departing from ?,,,0
136,"From Cambridge , which is why I asked the Cambridge TownInfo centre .",,,0
137,What day would you like to leave ?,,,0
138,On Saturday . Is there a train that will arrive by 15:15 ?,Is,by that Is train arrive 15:15,1
139,There is ! TR7213 leaves at 05:40 and arrive at 06:08 it is 10.10 pounds . Can I book that for you ?,leaves,leaves at 05:40,1
140,No need to book it . Thanks . But can you help me find a cheap restaurant in the south ?,,,0
141,Sure - The Lucky Star serves Chinese food and Nandos serves Portuguese food . Do either of those sound good ?,,,0
142,The Lucky Star sounds good . That 's all I need .,,,0
143,Would you like to book a table ?,,,0
144,Can you also tell me the postcode ?,,,0
145,Sure . The post code is cb17dy .,,,0
146,Thanks for your help . Good bye .,,,0
147,You 're welcome . Please let me know if you need anything else .,,,0
148,"Yeah , could you recommend a good gastropub ?",,,0
149,Backstreet Bistro . It 's expensive though . There is a moderately priced one called The Cow Pizza Kitchen and Bar if preferred .,,,0
150,I would like to book a table at the Backstreet Bistro for 5 people at 16:00 on Thursday .,like,16:00 like Thursday at book I on table,1
151,No problem . That is booked for you and your reference number is 2VE84YC5 . Is there anything else I can book for you ?,,,0
152,"Yes , any suggestions of museums found in the east area of town ?",,,0
153,"Yes , Gallery at Twelve a High Street is excellent , and has free admission . Would you like more information ?",,,0
154,Can I please have the phone number and address for that place ?,,,0
155,Certainly ! The address for gallery at twelve a high street is fulbourn and the phone number is 01223295264 . Can I help you with anything else ?,is,number 01223295264 is is address,1
156,"Great that 's all the information I needed today , thank you !",thank,information 's today you that needed thank I,1
157,You are very welcome . Have a nice day . Good bye .,Have,a nice Have day,1
158,"I want to find an expensive restaurant and serves european food . Can i also have the address , phone number and its area . ?",,,0
159,Eraina is a European restaurant in the centre area . Their address is St. Michael 's Church Trinity Street City Centre and phone number 01223 355166 .,is,is 355166 01223 address number Centre,1
160,thank you goodbye,,,0
161,Thank you and good bye,,,0
162,I need a 19:15 taxi to take me to Avalon .,,,0
163,I can definitely help ! Where are you departing from ?,,,0
164,I will be departing from Primavera .,,,0
165,You car has been booked . It is a black volvo . Can I assist you any further ?,,,0
166,Can i get the contact number please,,,0
167,"Yes , your contact number is 07698022958 . Can I assist you any further ?",is,number is 07698022958,1
168,"No , that will be all . Good bye .",,,0
169,You 're very welcome ! Goodbye .,,,0
170,Where 's a good place to eat crossover food in Cambridge ?,,,0
171,There are no crossover locations in Cambridge .,,,0
172,How about British restaurants in the Centre instead ?,,,0
173,I have 7 in the centre that serve british food . I have 4 in the moderate price range and 3 in the expensive . Did you have a preference ?,,,0
174,I would prefer the british food .,,,0
175,I have cotto that serves moderate priced food . Would you like to book a table ?,,,0
176,Yes please make a booking for 8 people at 12:30 on friday .,make,on 12:30 make at friday booking,1
177,I have made your booking here is the information : Booking was successful . The table will be reserved for 15 minutes . Reference number is : VVSOH0TQ .,reserved,for reserved minutes 15,1
178,What 's a good college to visit near the restaurant ?,,,0
179,There are 13 colleges in the centre . Is there a particular one you are interested in ?,,,0
180,Any college will be fine what do you recommend ? I need the phone number for whichever you pick .,,,0
181,christi 's college is in that area and has free entrance . There phone number is 01223334900 . Is there anything else I can assist you with ?,,,0
182,That is all I needed .,,,0
183,Thank you for choosing us and enjoy your stay .,,,0
184,I want a restaurant in the north of Cambridge that is within a moderate price range .,,,0
185,"There are two restaurants fitting your description , one is Chinese cuisine and one is Indian cuisine . Do you have a preference ?",,,0
186,Please book a table for 4 at the Chinese place at 12:30 on Sunday and give me the reference number .,book,12:30 book at Sunday table on,1
187,Okay you 're all set for Sunday at 12:30 . Your reference number is F5BTP63A . Can I help you find anything else ?,set,12:30 set Sunday at for,1
188,I am also looking for a train that goes to broxbourne on monday .,looking,monday goes on for that I train looking,1
189,There are 19 trains to broxbourne on Monday leaving every hour starting at 05:01 . Is there a specific time you 'd like ?,are,trains every at 19 leaving starting are Monday 05:01 hour on,1
190,I would like to arrive in broxbourne by 13:00 .,like,13:00 by arrive I like,1
191,The one arriving closest to 13:00 is TR5971 leaving cambridge at 11:01 and arrives by 12:01 in broxbourne . Would you like to book a ticket ?,leaving,is cambridge 12:01 13:00 arriving leaving 11:01 one by to at TR5971 arrives,1
192,Can I just get the price on one of them ?,,,0
193,All tickets from cambridge to broxbourne on that day cost 17.90 pounds each .,cost,cost day pounds tickets that on,1
194,Please book one .,,,0
195,How many tickets do I need to reserve for your train ?,,,0
196,"Just one , thank you ! Please provide me with a reference number .",,,0
197,"Booking was successful , the total fee is 17.89 GBP payable at the station . Reference number is : T1FGQFDJ . Can I help with anything else today ?",help,today I help,1
198,"No , thank you . That will be all for today . Thanks .",be,That be for today,1
199,Have a great day .,,,0
200,Find me a train that leaves on Sunday after 14:00 please,Find,train on 14:00 leaves after Sunday that Find,1
201,Certainly . Where are you headed ?,,,0
202,I am leaving norwich going to cambridge on sunday and I need a train that leaves the station any time after 14:00,leaving,norwich cambridge leaving sunday on going I,1
203,"TR5234 will leave at 14:16 , would that work for you ?",work,leave work 14:16 TR5234 that at,1
204,Yes . Give me the ref number please .,,,0
205,In order to get a ref number I must complete a booking first . How many tickets would you like me to book for you ?,,,0
206,I would like one train ticket please .,,,0
207,Your reservation for 1 ticket on the TR5234 train was successful . Your Reference number is : PGQKG62W . Is there anything else I can do for you ?,,,0
208,"Yes I am looking for a moderate priced place to eat in the east . Phone # , postcode and food type please",,,0
209,You have three options for moderately priced restaurants . Do you prefer indian or italian food ?,,,0
210,I would prefer Italian but Indian would be good as well . I will need the phone number and postcode of the restaurant . Thanks !,,,0
211,The place is called The Curry Prince and the phone number is : 01223566388 and the post code is : cb58jj .,,,0
212,Thanks for helping me with this . I appreciate it ! Goodbye !,,,0
213,My pleasure . Have a great day .,,,0
214,I need to book a train to norwich that arrives by 16:15 .,need,by I book arrives train that 16:15 need,1
215,What day would you like to leave ?,,,0
216,I want to leave on Wednesday from Cambridge .,want,want on I leave Wednesday,1
217,The TR1144 leaves Cambridge for Norwich on Wednesday at 05:36 . Would that be good for you ?,leaves,leaves at TR1144 Wednesday Cambridge on 05:36,1
218,What is the price and travel time ?,,,0
219,The price is 17.60 pounds .,,,0
220,And what is the travel time ?,,,0
221,It is 79 minutes .,is,79 is It minutes,1
222,Thanks ! Can you also tell me if there are any multiple sports attractions in the center of town ?,,,0
223,there are not . i do have one in the east part of town . would you like the information for that venue ?,,,0
224,That s ok . I really want something in the centre . How about any suggestions on a good college to visit ?,,,0
225,Christ 's college is in the centre of town . Is there anything you need ?,,,0
226,Could you please get me the phone number ?,,,0
227,sure it 's 01223334900,,,0
228,Thank you . That is all that I need .,,,0
229,"Thank you , have a good day !",,,0
230,I need a place to stay that has free wifi .,,,0
231,"I have 32 places that offer wifi , do you have a price range preference ?",,,0
232,could you provide details for something in the cheap price range ?,,,0
233,There are 33 cheap hotels with wifi in Cambridge . Do you have a particular area you are interested in ?,,,0
234,"No , I have no preference . Just pick one . That will be fine .",,,0
235,I recommend alexander bed and breakfast on 56 saint barnabas road would that due ?,,,0
236,"Perfect . I 'll need a room for myself , for five nights on tuesday .",need,tuesday five need for on room nights I,1
237,"Perfect , you are all set for Alexander Bed and Breakfast on Tuesday , your reference number is 22DG5770 . Is there anything I can help with today ?",Is,help today I Is with anything,1
238,"Nope , that 's it . Thanks !",,,0
239,"I hope you not going to sit in your room by yourself for 5 days , are you sure that you do nt want to know about a restaurant or attraction ?",are,you days you I not sit for going hope are 5,1
240,"Actaully i will be on business so not out much but I do need a train , to cambridge leaving after 21:15",,,0
241,Ok great . What day will you be traveling ?,,,0
242,"Yes , I need a train going to cambridge leaving after 21:15 on tuesday departing from broxbourne .",need,on I train 21:15 cambridge tuesday after going need leaving,1
243,"I have the TR9688 , which leaves at 12:32 . Would you like to book this train ?",have,which have 12:32 at I leaves TR9688,1
244,I need a train after 21:15 .,need,train a 21:15 need after I,1
245,There are 3 trains leaving an hour apart starting at 21:32 . The travel time is 60 minutes and costs 17.90 pounds . Would you like me to book one ?,is,60 is time minutes,1
246,No thank you . I just need the train ID and arrival time for one of them .,,,0
247,The TR3112 arrives at 22:32 .,arrives,TR3112 arrives at 22:32,1
248,"Great , thanks for that information on the train . Can you book for a train leaving after 21:15 ?",,,0
249,How many tickets do you need ?,,,0
250,I need tickets for one person .,,,0
251,Your total is 17.89 GBP . You can pay that at the station . Your reference number is RAIYCNJU .,,,0
252,that is all i needed for today . thanks alot,is,i that today all for is needed,1
253,thank you for using this service good bye,,,0
254,"Hi , I 'm traveling to Cambridge soon and am looking forward to seeing some local tourist attractions .",,,0
255,There are many to see ! Are you going to be traveling within a certain area of town ?,,,0
256,"Actually , yes . We are traveling into the northern part of town .",,,0
257,"If you 're heading north , I recommend taking a ride on the Riverboat Georgina .",,,0
258,That sounds nice but I would like to see about a guesthouse with free wifi .,,,0
259,There at 10 guest houses in the north offering free wifi . Are you looking for a particular price range ?,,,0
260,"No , I do n't really care about price . Just something in the north that includes wifi .",,,0
261,"Acorn Guest house is located in the north , has free wifi and is moderately priced .",,,0
262,Groovy ! ! Let get a booking for 2 people and 2 nights starting sunday .,Let,2 sunday get for starting booking Let people nights 2,1
263,Your booking has been made and your reference number is O0FG9YKT . Acorn Guest House is located at 154 Chesterton Road . Is there anything else I can do for you ?,,,0
264,"Yes , I am looking to visit the cherry hinton hall and grounds . Can I please have more information on that ?",,,0
265,"Sure , that 's a great entertainment venue in the East . Their phone number is 01223446104 . Is there anything else you need to know ?",,,0
266,"No , taht will be all . Thanks , goodbye .",,,0
267,Thank you for using our service !,,,0
268,Can you help me book a table at a chinese restaurant that 's in the centre of town ?,,,0
269,Great choice ! I have 10 Chinese restaurants . What is your price range and we can narrow them down .,,,0
270,"I need some cheap Chop Suey , please .",,,0
271,How does the Charlie Chan sound ? It is a cheap Chinese restaurant in the centre .,,,0
272,That sounds like they 'll have some awesome Chop Suey . Please book me a table for 2 on Tuesday at 12:45 .,book,table book on 12:45 2 at me for Tuesday,1
273,"I am sorry but charlie chan is booked for that time . Do you want to pick an earlier or later time , or a different day ?",,,0
274,"Can we try the same day for 11:45 please ? And can I have the reference number as well , thanks .",try,11:45 for day try please we,1
275,Great News ! I was able to reserve your table for 2 at the 11:45 time . They will hold the table for 15 minutes . Reference number is : GFIL3UG5 .,hold,hold for table minutes They 15,1
276,Thank you . I am also looking for places to go in the same area as the restaurant .,,,0
277,There are dozens of attractions in the centre . What type of activities are you interested in ? Museums ? Architecture ? Boat Rides ? Something else ?,,,0
278,"I am looking for some type of entertainment in the same area as the restaurant , please .",,,0
279,There are all kinds of entertainment choices . Did you have something in mind ?,,,0
280,"No , just an entertainment attraction in the same area as the restaurant . Can you make a suggestion ?",,,0
281,What about a museum ? The cambridge contemporary art is a nice one .,,,0
282,"That sounds nice can I get their phone number , entrance fee , and address please ?",,,0
283,"The phone number is 01223324222 , the address is 6 Trinity Street , and it is free admittance .",is,address 01223324222 is number is,1
284,Thank you so much for your help .,,,0
285,Will that be everything for you today then ?,be,today that be,1
286,That will be all . Thank you for your help !,,,0
287,"Glad to be of assistance , have a great day !",,,0
288,"Thanks , take care buddy !",,,0
289,Thank you goodbye,,,0
290,I am looking for a train to Ely .,,,0
291,What day are you looking to travel ?,,,0
292,"I need to leave a little after 8:00 on Sunday , and I 'm leaving from Cambridge .",need,leave I after Sunday on little need a 8:00,1
293,The closest train I have is the TR3177 that leaves at 09:50 . There 's nothing earlier on that day .,'s,day earlier that on 's,1
294,That will have to work . What is the arrival time ?,,,0
295,The arrival time is 10:07 .,is,is 10:07 time,1
296,Perfect ! That 's all I needed to know . Thanks . Have a great day .,,,0
297,Have a wonderful day !,,,0
298,I need to take a train from bishops stortford to Cambridge . Ill need to leave after 9:00,,,0
299,There are 56 trains traveling from Bishops Stortford to Cambridge after 9:00 between Friday and Wednesday . What day to you want to travel ?,are,after Friday between Wednesday 9:00 are and,1
300,I want to leave on Sunday .,want,want on I leave Sunday,1
301,How about TR4803 that leaves at 09:29 ?,about,that 09:29 TR4803 at about leaves,1
302,That will work can you book that for me please ?,,,0
303,Of course . How many tickets do you need ?,,,0
304,"Actually , I do n't need a booking . I just need to know when it arrives , thanks .",,,0
305,It arrives at 10:07 .,arrives,10:07 It arrives at,1
306,Thank you . I am also looking for a park to go to .,,,0
307,I have 5 to choose from . Is there a certain area you were wanting the park to be in ?,,,0
308,no specific area . just recommend one .,,,0
309,Milton Country Park is a great place to visit ! It 's in the North and free to enter .,,,0
310,"Great ! Please , give me the address of the park .",,,0
311,"milton country park , milton .",,,0
312,Thank you so much for your time . Have a nice day !,Have,Have a day nice,1
313,"You too , enjoy your stay !",,,0
314,I am looking for a restaurant that is in the expensive price range and in the south part of town .,,,0
315,"There are results matching your query . Would you like Mexican , Italian , Chinese , or Indian ?",,,0
316,Let 's go with Italian food .,,,0
317,Frankie and Bennys is an expensive Italian eatery in the south part of town . Would you like any additional information about this restaurant ?,,,0
318,address and phone number,,,0
319,The address is Cambridge Leisure Park Clifton Way Cherry Hinton . The phone number is 01223 412430 .,is,412430 01223 is number,1
320,"Thank you , goodbye .",,,0
321,"You 're welcome , goodbye .",,,0
322,Can you help me find an expensive Chinese food restaurant ?,,,0
323,What area would you like ? There are nine results .,,,0
324,I 'm interested in restaurants located in the East .,,,0
325,"Okay , Yu Garden matches your specifications . Would you like me to book a reservation ?",,,0
326,"Yeah , could you book it for 8 people on Monday ? I think 16:15 is when we want to be seated .",book,you on it book Monday,1
327,"The booking went through , your table is reserved for 15 minutes starting at 16:15 . Reference number is BT75STQI .",reserved,15 for starting minutes reserved 16:15 at,1
328,Thanks ! I 'm also looking for a hotel near that restaurant .,,,0
329,"I would recommend the Express by Holiday Inn Cambridge , should I book it for you ?",,,0
330,If that has free wifi that 'll work .,,,0
331,"Yes , there is internet there . Would you like a booking then ?",,,0
332,"Could you tell me the price , address and phone number ?",,,0
333,"They are expensive and can be reached at 01223866800 . The address is 15 - 17 norman way , coldhams business park . Anything else ?",are,at They reached 01223866800 are,1
334,"No , that 's all for me today ! Thank you ! Bye !",'s,'s today that,1
335,I hope you have a wonderful stay .,,,0
336,I am planning a vacation and really could use some help finding a good place to stay in town . I 've never been to Cambridge before .,,,0
337,which side of town do you prefer and what is the price range ?,,,0
338,It does n't matter . What do you recommend ?,,,0
339,alexander bed and breakfast is a guest house in the centre area . Would you like to book a room ?,,,0
340,"Oh , ok . I really do n't want to stay at a guesthouse though . Can you recommend a hotel instead ?",,,0
341,The Huntingdon Marriott hotel is a very nice place .,,,0
342,Sounds good . Can you get me a room for 2 for 5 nights starting Sunday ?,get,Sunday 5 room get for starting you nights,1
343,Booking was successful . Reference number is : 36N9VCAD . Is there anything else I can help with ?,,,0
344,What is the train schedule from birmingham new street like ? I need to arrive at 13:45 .,need,13:45 at need I arrive,1
345,"Where would you like the train to arrive , and what time will you be leaving ?",,,0
346,I need the travel day to be Sunday . I 'll be going to Cambridge and arrive by 13:45 . I 'll be leaving from Birmingham New street .,going,arrive I going 13:45 by,1
347,Train TR7468 will arrive at 13:23 . Will this work for you ?,arrive,TR7468 arrive at 13:23,1
348,What is the travel time on that train ?,,,0
349,It is 163 minutes on that train .,is,minutes 163 is It,1
350,Excellent . Thanks for all the help !,,,0
351,"You are quite welcome , thank you for using our services . Have we met all of your needs today ?",met,today met all we,1
352,"Yes , thanks very much ! Have a great day !",,,0
353,ok thanks and have a great day,,,0
354,You too ! Thanks so much for all the help . Please end the convo and read the directions next time . thanks,,,0
355,Keep the snarky comments to yourself .,,,0
356,"I 'm looking to go to dinner tonight and am in the mood for some good Bistro in the centre of town , can you find me some options ?",find,I find you looking go tonight,1
357,I 'm sorry . There is no matching restaurant . Would you like to try a different food type or area ?,,,0
358,Hmm ... let me think . Let 's try maybe something italian instead .,,,0
359,There are nine Italian restaurants in the centre of town ! Are you looking for an Italian restaurant in any particular price range ?,,,0
360,Which of those nine has the best ratings ? Can I please have the address and postcode .,,,0
361,"I recommend Caffe Uno - it 's very nice . They 're at 32 Bridge Street City Centre , cb21uj . Can I help with anything else ?",,,0
362,"No , that 's all . Thanks .",,,0
363,Thank you ! Goodbye .,,,0
364,I am looking for a particular restaurant . Its name is called travellers rest,,,0
365,It is an expensive British restaurant on the west side of town . Would you like the address ?,,,0
366,"Yes , and can you book a table for 1 at 14:15 on Monday , please .",book,on 1 book for 14:15 table you at Monday,1
367,Ok . You 're all set for Monday at 14:15 . Have a great day .,set,14:15 set Monday at for,1
368,I 'm wanting a train that leaves on Friday and goes to Cambridge .,wanting,leaves that wanting Friday on train I,1
369,Sure thing . What 's your departure site and around what time would you like to leave ?,,,0
370,"I want to leave after 16:45 , depart from Birmingham New Street .",want,want I leave 16:45 after,1
371,The first train will leave at 17:40 and arrive at 20:23 . Does that sound good ?,leave,20:23 at 17:40 train at arrive leave,1
372,This time works fine for me .,,,0
373,"You train has been booked , and the reference number is ZETNNFN0 . You will owe 75.09 GBP when you arrive .",,,0
374,"thanks , i 'm also looking for some museums .",,,0
375,We have lots of wonderful museums . Is there a particular area of the town you would like to find one in ?,,,0
376,"Yes , do you have any in the centre ?",,,0
377,There 's 11 museums in the centre is there a type of museum you 'd like to visit ?,,,0
378,"Anyone of those would work . Could you recommend something for me ? I 'll need the phone number , and address as well .",,,0
379,The broughton house gallery is very nice and the phone number is 01223314960 and the address is 98 king street .,is,gallery 01223314960 is is number,1
380,What area is it in ?,,,0
381,It is in the centre .,,,0
382,"Heya , can you find me an expensive restaurant with north african food ?",,,0
383,I actually can not find any expensive restaurants with north african food . There is however an expensive restaurant with african food . Would that be okay ?,,,0
384,Are there any expensive restaurants with gastropub food ?,,,0
385,"Yes , I have 3 . Two are located in the centre and one is located in the east . Do you have a preference ?",,,0
386,"Yes , the one in the east please .",,,0
387,One in the East is called Royal Standard . Can I book a table for you ?,,,0
388,"Yes , please book it for 2 people at 13:45 on monday .",book,on book 13:45 at it monday,1
389,I 'm sorry that is n't available . Can I try a different restaurant for you ?,,,0
390,No thank you that will be all .,,,0
391,Is there anything else I can assist you with ?,,,0
392,That was all thank you .,,,0
393,Thank you . Good bye,,,0
394,I 'm planning a trip to Cambridge and I was told the A and B Guest House was a great place to stay . Can you give me information about it ?,,,0
